# Traversio public API baseline
# Generated with: swift package dump-symbol-graph --minimum-access-level public --skip-synthesized-members
# Format: kind<TAB>path<TAB>precise-symbol-id<TAB>declaration
swift.method	SFTPClient.openFile(_:flags:attributes:)	s:9Traversio10SFTPClientV8openFile_5flags10attributesAA14SFTPFileHandleVSS_AA011SSHSFTPOpenD5FlagsVAA21SSHSFTPFileAttributesVtYaKF	func openFile(_ path: String, flags: SSHSFTPOpenFileFlags = [.read], attributes: SSHSFTPFileAttributes = .empty) async throws -> SFTPFileHandle
swift.method	SFTPClient.readFile(_:chunkSize:maxConcurrentReads:progress:)	s:9Traversio10SFTPClientV8readFile_9chunkSize18maxConcurrentReads8progressSays5UInt8VGSS_s6UInt32VSiyAA23SSHSFTPTransferProgressVYaYbcSgtYaKF	func readFile(_ path: String, chunkSize: UInt32 = 32 * 1_024, maxConcurrentReads: Int = 1, progress: SSHSFTPTransferProgressHandler? = nil) async throws -> [UInt8]
swift.method	SFTPClient.readLink(_:)	s:9Traversio10SFTPClientV8readLinkyAA16SSHSFTPNameEntryVSSYaKF	func readLink(_ path: String) async throws -> SSHSFTPNameEntry
swift.method	SFTPClient.realPath(_:)	s:9Traversio10SFTPClientV8realPathyAA16SSHSFTPNameEntryVSSYaKF	func realPath(_ path: String) async throws -> SSHSFTPNameEntry
swift.method	SFTPClient.removeDirectory(_:)	s:9Traversio10SFTPClientV15removeDirectoryyySSYaKF	func removeDirectory(_ path: String) async throws
swift.method	SFTPClient.removeFile(_:)	s:9Traversio10SFTPClientV10removeFileyySSYaKF	func removeFile(_ path: String) async throws
swift.method	SFTPClient.rename(_:to:)	s:9Traversio10SFTPClientV6rename_2toySS_SStYaKF	func rename(_ oldPath: String, to newPath: String) async throws
swift.method	SFTPClient.resumeDownloadFile(_:existingData:chunkSize:maxConcurrentReads:progress:)	s:9Traversio10SFTPClientV18resumeDownloadFile_12existingData9chunkSize18maxConcurrentReads8progressAA013SSHSFTPResumeD6ResultVSS_Says5UInt8VGs6UInt32VSiyAA23SSHSFTPTransferProgressVYaYbcSgtYaKF	func resumeDownloadFile(_ path: String, existingData: [UInt8], chunkSize: UInt32 = 32 * 1_024, maxConcurrentReads: Int = 1, progress: SSHSFTPTransferProgressHandler? = nil) async throws -> SSHSFTPResumeDownloadResult
swift.method	SFTPClient.resumeUploadFile(_:data:chunkSize:maxConcurrentWrites:syncAfterWrite:progress:)	s:9Traversio10SFTPClientV16resumeUploadFile_4data9chunkSize19maxConcurrentWrites14syncAfterWrite8progressAA013SSHSFTPResumeD6ResultVSS_Says5UInt8VGs6UInt32VSiSbyAA23SSHSFTPTransferProgressVYaYbcSgtYaKF	func resumeUploadFile(_ path: String, data: [UInt8], chunkSize: UInt32 = 32 * 1_024, maxConcurrentWrites: Int = 1, syncAfterWrite: Bool = false, progress: SSHSFTPTransferProgressHandler? = nil) async throws -> SSHSFTPResumeUploadResult
swift.method	SFTPClient.setAttributes(_:attributes:)	s:9Traversio10SFTPClientV13setAttributes_10attributesySS_AA011SSHSFTPFileD0VtYaKF	func setAttributes(_ path: String, attributes: SSHSFTPFileAttributes) async throws
swift.method	SFTPClient.stat(_:)	s:9Traversio10SFTPClientV4statyAA21SSHSFTPFileAttributesVSSYaKF	func stat(_ path: String) async throws -> SSHSFTPFileAttributes
swift.method	SFTPClient.uploadDirectory(from:to:fileAttributes:directoryAttributes:chunkSize:maxConcurrentWrites:syncAfterWrite:progress:shouldContinue:)	s:9Traversio10SFTPClientV15uploadDirectory4from2to14fileAttributes09directoryH09chunkSize19maxConcurrentWrites14syncAfterWrite8progress14shouldContinueAA31SSHSFTPDirectoryTransferSummaryV10Foundation3URLV_SSAA011SSHSFTPFileH0VATs6UInt32VSiSbyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKF	func uploadDirectory(from localURL: URL, to remotePath: String, fileAttributes: SSHSFTPFileAttributes = .empty, directoryAttributes: SSHSFTPFileAttributes = .empty, chunkSize: UInt32 = 32 * 1_024, maxConcurrentWrites: Int = 16, syncAfterWrite: Bool = false, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> SSHSFTPDirectoryTransferSummary
swift.method	SFTPClient.uploadFile(from:to:attributes:chunkSize:maxConcurrentWrites:syncAfterWrite:progress:shouldContinue:)	s:9Traversio10SFTPClientV10uploadFile4from2to10attributes9chunkSize19maxConcurrentWrites14syncAfterWrite8progress14shouldContinues6UInt64V10Foundation3URLV_SSAA21SSHSFTPFileAttributesVs6UInt32VSiSbyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKF	func uploadFile(from localURL: URL, to remotePath: String, attributes: SSHSFTPFileAttributes = .empty, chunkSize: UInt32 = 32 * 1_024, maxConcurrentWrites: Int = 16, syncAfterWrite: Bool = false, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> UInt64
swift.method	SFTPClient.writeFile(_:data:chunkSize:maxConcurrentWrites:syncAfterWrite:progress:)	s:9Traversio10SFTPClientV9writeFile_4data9chunkSize19maxConcurrentWrites14syncAfterWrite8progressySS_Says5UInt8VGs6UInt32VSiSbyAA23SSHSFTPTransferProgressVYaYbcSgtYaKF	func writeFile(_ path: String, data: [UInt8], chunkSize: UInt32 = 32 * 1_024, maxConcurrentWrites: Int = 1, syncAfterWrite: Bool = false, progress: SSHSFTPTransferProgressHandler? = nil) async throws
swift.struct	SFTPFileHandle	s:9Traversio14SFTPFileHandleV	struct SFTPFileHandle
swift.method	SFTPFileHandle.close()	s:9Traversio14SFTPFileHandleV5closeyyYaKF	func close() async throws
swift.method	SFTPFileHandle.fileSystemAttributes()	s:9Traversio14SFTPFileHandleV20fileSystemAttributesAA011SSHSFTPFileeF0VyYaKF	func fileSystemAttributes() async throws -> SSHSFTPFileSystemAttributes
swift.method	SFTPFileHandle.read(at:length:)	s:9Traversio14SFTPFileHandleV4read2at6lengthSays5UInt8VGSgs6UInt64V_s6UInt32VtYaKF	func read(at offset: UInt64, length: UInt32) async throws -> [UInt8]?
swift.method	SFTPFileHandle.read(length:)	s:9Traversio14SFTPFileHandleV4read6lengthSays5UInt8VGSgs6UInt32V_tYaKF	func read(length: UInt32) async throws -> [UInt8]?
swift.method	SFTPFileHandle.readAll(chunkSize:maxConcurrentReads:progress:)	s:9Traversio14SFTPFileHandleV7readAll9chunkSize18maxConcurrentReads8progressSays5UInt8VGs6UInt32V_SiyAA23SSHSFTPTransferProgressVYaYbcSgtYaKF	func readAll(chunkSize: UInt32 = 32 * 1_024, maxConcurrentReads: Int = 1, progress: SSHSFTPTransferProgressHandler? = nil) async throws -> [UInt8]
swift.method	SFTPFileHandle.readChunks(startingAt:chunkSize:)	s:9Traversio14SFTPFileHandleV10readChunks10startingAt9chunkSizeAA24SSHSFTPFileChunkSequenceVs6UInt64V_s6UInt32VtF	func readChunks(startingAt offset: UInt64 = 0, chunkSize: UInt32 = 32 * 1_024) -> SSHSFTPFileChunkSequence
swift.method	SFTPFileHandle.rewind()	s:9Traversio14SFTPFileHandleV6rewindyyYaKF	func rewind() async throws
swift.method	SFTPFileHandle.seek(to:)	s:9Traversio14SFTPFileHandleV4seek2toys6UInt64V_tYaKF	func seek(to offset: UInt64) async throws
swift.method	SFTPFileHandle.setAttributes(_:)	s:9Traversio14SFTPFileHandleV13setAttributesyyAA011SSHSFTPFileE0VYaKF	func setAttributes(_ attributes: SSHSFTPFileAttributes) async throws
swift.method	SFTPFileHandle.stat()	s:9Traversio14SFTPFileHandleV4statAA21SSHSFTPFileAttributesVyYaKF	func stat() async throws -> SSHSFTPFileAttributes
swift.method	SFTPFileHandle.synchronize()	s:9Traversio14SFTPFileHandleV11synchronizeyyYaKF	func synchronize() async throws
swift.method	SFTPFileHandle.tell()	s:9Traversio14SFTPFileHandleV4tells6UInt64VyYaKF	func tell() async throws -> UInt64
swift.method	SFTPFileHandle.write(_:)	s:9Traversio14SFTPFileHandleV5writeyySays5UInt8VGYaKF	func write(_ data: [UInt8]) async throws
swift.method	SFTPFileHandle.write(_:at:)	s:9Traversio14SFTPFileHandleV5write_2atySays5UInt8VG_s6UInt64VtYaKF	func write(_ data: [UInt8], at offset: UInt64) async throws
swift.method	SFTPFileHandle.write(contentsOf:startingAt:progress:)	s:9Traversio14SFTPFileHandleV5write10contentsOf10startingAt8progressyx_s6UInt64VyAA23SSHSFTPTransferProgressVYaYbcSgtYaKSciRzSays5UInt8VG7ElementRtzlF	func write<Chunks>(contentsOf chunks: Chunks, startingAt offset: UInt64 = 0, progress: SSHSFTPTransferProgressHandler? = nil) async throws where Chunks : AsyncSequence, Chunks.Element == [UInt8]
swift.struct	SFTPRemoteTransfer	s:9Traversio18SFTPRemoteTransferV	struct SFTPRemoteTransfer
swift.type.method	SFTPRemoteTransfer.copyDirectory(from:sourcePath:to:destinationPath:fileAttributes:directoryAttributes:chunkSize:progress:shouldContinue:)	s:9Traversio18SFTPRemoteTransferV13copyDirectory4from10sourcePath2to011destinationH014fileAttributes09directoryL09chunkSize8progress14shouldContinueAA016SSHSFTPDirectoryC7SummaryVAA10SFTPClientV_SSAQSSAA011SSHSFTPFileL0VASs6UInt32VyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKFZ	static func copyDirectory(from sourceClient: SFTPClient, sourcePath: String, to destinationClient: SFTPClient, destinationPath: String, fileAttributes: SSHSFTPFileAttributes = .empty, directoryAttributes: SSHSFTPFileAttributes = .empty, chunkSize: UInt32 = 64 * 1024, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> SSHSFTPDirectoryTransferSummary
swift.type.method	SFTPRemoteTransfer.copyFile(from:sourcePath:to:destinationPath:attributes:chunkSize:progress:shouldContinue:)	s:9Traversio18SFTPRemoteTransferV8copyFile4from10sourcePath2to011destinationH010attributes9chunkSize8progress14shouldContinues6UInt64VAA10SFTPClientV_SSAPSSAA21SSHSFTPFileAttributesVs6UInt32VyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKFZ	static func copyFile(from sourceClient: SFTPClient, sourcePath: String, to destinationClient: SFTPClient, destinationPath: String, attributes: SSHSFTPFileAttributes = .empty, chunkSize: UInt32 = 64 * 1024, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> UInt64
swift.class	SSHAgentClient	s:9Traversio14SSHAgentClientC	actor SSHAgentClient
swift.method	SSHAgentClient.authenticationMethod(for:)	s:9Traversio14SSHAgentClientC20authenticationMethod3forAA017SSHAuthenticationE0OAA0B8IdentityV_tF	nonisolated func authenticationMethod(for identity: SSHAgentIdentity) -> SSHAuthenticationMethod
swift.method	SSHAgentClient.identities()	s:9Traversio14SSHAgentClientC10identitiesSayAA0B8IdentityVGyYaKF	func identities() async throws -> [SSHAgentIdentity]
swift.init	SSHAgentClient.init(socketPath:)	s:9Traversio14SSHAgentClientC10socketPathACSSSg_tKcfc	init(socketPath: String? = nil) throws
swift.method	SSHAgentClient.sign(identity:data:algorithmName:)	s:9Traversio14SSHAgentClientC4sign8identity4data13algorithmNameSays5UInt8VGAA0B8IdentityV_AJSStYaKF	func sign(identity: SSHAgentIdentity, data: [UInt8], algorithmName: String) async throws -> [UInt8]
swift.method	SSHAgentClient.sign(identity:request:)	s:9Traversio14SSHAgentClientC4sign8identity7requestSays5UInt8VGAA0B8IdentityV_AA40SSHPublicKeyAuthenticationSigningRequestVtYaKF	func sign(identity: SSHAgentIdentity, request: SSHPublicKeyAuthenticationSigningRequest) async throws -> [UInt8]
swift.enum	SSHAgentClientError	s:9Traversio19SSHAgentClientErrorO	enum SSHAgentClientError
swift.enum.case	SSHAgentClientError.agentFailure	s:9Traversio19SSHAgentClientErrorO12agentFailureyA2CmF	case agentFailure
swift.enum.case	SSHAgentClientError.invalidIdentityPublicKey	s:9Traversio19SSHAgentClientErrorO24invalidIdentityPublicKeyyA2CmF	case invalidIdentityPublicKey
swift.enum.case	SSHAgentClientError.invalidMessageLength(_:)	s:9Traversio19SSHAgentClientErrorO20invalidMessageLengthyACs6UInt32VcACmF	case invalidMessageLength(UInt32)
swift.enum.case	SSHAgentClientError.invalidSocketPath	s:9Traversio19SSHAgentClientErrorO17invalidSocketPathyA2CmF	case invalidSocketPath
swift.enum.case	SSHAgentClientError.missingSocketPath	s:9Traversio19SSHAgentClientErrorO17missingSocketPathyA2CmF	case missingSocketPath
swift.enum.case	SSHAgentClientError.socketOperationFailed(_:)	s:9Traversio19SSHAgentClientErrorO21socketOperationFailedyACSScACmF	case socketOperationFailed(String)
swift.enum.case	SSHAgentClientError.trailingMessageBytes(_:)	s:9Traversio19SSHAgentClientErrorO20trailingMessageBytesyACSicACmF	case trailingMessageBytes(Int)
swift.enum.case	SSHAgentClientError.unexpectedMessage(expected:received:)	s:9Traversio19SSHAgentClientErrorO17unexpectedMessageyACs5UInt8V_AFtcACmF	case unexpectedMessage(expected: UInt8, received: UInt8)
swift.struct	SSHAgentIdentity	s:9Traversio16SSHAgentIdentityV	struct SSHAgentIdentity
swift.property	SSHAgentIdentity.comment	s:9Traversio16SSHAgentIdentityV7commentSSvp	let comment: String
swift.init	SSHAgentIdentity.init(publicKey:comment:keyType:supportedAuthenticationAlgorithmNames:)	s:9Traversio16SSHAgentIdentityV9publicKey7comment7keyType37supportedAuthenticationAlgorithmNamesACSays5UInt8VG_S2SSaySSGtcfc	init(publicKey: [UInt8], comment: String, keyType: String, supportedAuthenticationAlgorithmNames: [String])
swift.property	SSHAgentIdentity.keyType	s:9Traversio16SSHAgentIdentityV7keyTypeSSvp	let keyType: String
swift.property	SSHAgentIdentity.publicKey	s:9Traversio16SSHAgentIdentityV9publicKeySays5UInt8VGvp	let publicKey: [UInt8]
swift.property	SSHAgentIdentity.supportedAuthenticationAlgorithmNames	s:9Traversio16SSHAgentIdentityV37supportedAuthenticationAlgorithmNamesSaySSGvp	let supportedAuthenticationAlgorithmNames: [String]
swift.struct	SSHAuthenticationBanner	s:9Traversio23SSHAuthenticationBannerV	struct SSHAuthenticationBanner
swift.init	SSHAuthenticationBanner.init(message:languageTag:)	s:9Traversio23SSHAuthenticationBannerV7message11languageTagACSS_SStcfc	init(message: String, languageTag: String)
swift.property	SSHAuthenticationBanner.languageTag	s:9Traversio23SSHAuthenticationBannerV11languageTagSSvp	let languageTag: String
swift.property	SSHAuthenticationBanner.message	s:9Traversio23SSHAuthenticationBannerV7messageSSvp	let message: String
swift.enum	SSHAuthenticationMethod	s:9Traversio23SSHAuthenticationMethodO	enum SSHAuthenticationMethod
swift.func.op	SSHAuthenticationMethod.==(_:_:)	s:9Traversio23SSHAuthenticationMethodO2eeoiySbAC_ACtFZ	static func == (lhs: SSHAuthenticationMethod, rhs: SSHAuthenticationMethod) -> Bool
swift.enum.case	SSHAuthenticationMethod.ecdsaP256PrivateKey(rawRepresentation:)	s:9Traversio23SSHAuthenticationMethodO19ecdsaP256PrivateKeyyACSays5UInt8VG_tcACmF	case ecdsaP256PrivateKey(rawRepresentation: [UInt8])
swift.enum.case	SSHAuthenticationMethod.ecdsaP384PrivateKey(rawRepresentation:)	s:9Traversio23SSHAuthenticationMethodO19ecdsaP384PrivateKeyyACSays5UInt8VG_tcACmF	case ecdsaP384PrivateKey(rawRepresentation: [UInt8])
swift.enum.case	SSHAuthenticationMethod.ecdsaP521PrivateKey(rawRepresentation:)	s:9Traversio23SSHAuthenticationMethodO19ecdsaP521PrivateKeyyACSays5UInt8VG_tcACmF	case ecdsaP521PrivateKey(rawRepresentation: [UInt8])
swift.type.method	SSHAuthenticationMethod.ecdsaPrivateKey(contentsOfOpenSSHPrivateKeyFile:passphrase:)	s:9Traversio23SSHAuthenticationMethodO15ecdsaPrivateKey024contentsOfOpenSSHPrivateF4File10passphraseACSS_SSSgtKFZ	static func ecdsaPrivateKey(contentsOfOpenSSHPrivateKeyFile path: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.ecdsaPrivateKey(openSSHPrivateKey:passphrase:)	s:9Traversio23SSHAuthenticationMethodO15ecdsaPrivateKey014openSSHPrivateF010passphraseACSS_SSSgtKFZ	static func ecdsaPrivateKey(openSSHPrivateKey pem: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.ed25519PrivateKey(contentsOfOpenSSHPrivateKeyFile:passphrase:)	s:9Traversio23SSHAuthenticationMethodO17ed25519PrivateKey024contentsOfOpenSSHPrivateF4File10passphraseACSS_SSSgtKFZ	static func ed25519PrivateKey(contentsOfOpenSSHPrivateKeyFile path: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.ed25519PrivateKey(openSSHPrivateKey:passphrase:)	s:9Traversio23SSHAuthenticationMethodO17ed25519PrivateKey014openSSHPrivateF010passphraseACSS_SSSgtKFZ	static func ed25519PrivateKey(openSSHPrivateKey pem: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.enum.case	SSHAuthenticationMethod.ed25519PrivateKey(rawRepresentation:)	s:9Traversio23SSHAuthenticationMethodO17ed25519PrivateKeyyACSays5UInt8VG_tcACmF	case ed25519PrivateKey(rawRepresentation: [UInt8])
swift.enum.case	SSHAuthenticationMethod.keyboardInteractive(submethods:responseProvider:)	s:9Traversio23SSHAuthenticationMethodO19keyboardInteractiveyACSaySSG_AeA011SSHKeyboardE9ChallengeVYaYbKctcACmF	case keyboardInteractive(submethods: [String], responseProvider: @Sendable (SSHKeyboardInteractiveChallenge) async throws -> [String])
swift.type.method	SSHAuthenticationMethod.openSSHPrivateKey(_:passphrase:)	s:9Traversio23SSHAuthenticationMethodO17openSSHPrivateKey_10passphraseACSS_SSSgtKFZ	static func openSSHPrivateKey(_ pem: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.openSSHPrivateKey(contentsOfFile:passphrase:)	s:9Traversio23SSHAuthenticationMethodO17openSSHPrivateKey14contentsOfFile10passphraseACSS_SSSgtKFZ	static func openSSHPrivateKey(contentsOfFile path: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.enum.case	SSHAuthenticationMethod.password(_:)	s:9Traversio23SSHAuthenticationMethodO8passwordyACSScACmF	case password(String)
swift.enum.case	SSHAuthenticationMethod.passwordWithChangeResponse(password:responseProvider:)	s:9Traversio23SSHAuthenticationMethodO26passwordWithChangeResponseyACSS_SSAA011SSHPasswordF9ChallengeVYaYbKctcACmF	case passwordWithChangeResponse(password: String, responseProvider: @Sendable (SSHPasswordChangeChallenge) async throws -> String)
swift.type.method	SSHAuthenticationMethod.privateKeyPEM(_:passphrase:)	s:9Traversio23SSHAuthenticationMethodO13privateKeyPEM_10passphraseACSS_SSSgtKFZ	static func privateKeyPEM(_ pem: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.privateKeyPEM(contentsOfFile:passphrase:)	s:9Traversio23SSHAuthenticationMethodO13privateKeyPEM14contentsOfFile10passphraseACSS_SSSgtKFZ	static func privateKeyPEM(contentsOfFile path: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.enum.case	SSHAuthenticationMethod.publicKey(algorithmNames:publicKey:signatureProvider:)	s:9Traversio23SSHAuthenticationMethodO9publicKeyyACSaySSG_Says5UInt8VGAhA09SSHPublicE28AuthenticationSigningRequestVYaYbKctcACmF	case publicKey(algorithmNames: [String], publicKey: [UInt8], signatureProvider: @Sendable (SSHPublicKeyAuthenticationSigningRequest) async throws -> [UInt8])
swift.type.method	SSHAuthenticationMethod.rsaPrivateKey(contentsOfOpenSSHPrivateKeyFile:passphrase:)	s:9Traversio23SSHAuthenticationMethodO13rsaPrivateKey024contentsOfOpenSSHPrivateF4File10passphraseACSS_SSSgtKFZ	static func rsaPrivateKey(contentsOfOpenSSHPrivateKeyFile path: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.type.method	SSHAuthenticationMethod.rsaPrivateKey(openSSHPrivateKey:passphrase:)	s:9Traversio23SSHAuthenticationMethodO13rsaPrivateKey014openSSHPrivateF010passphraseACSS_SSSgtKFZ	static func rsaPrivateKey(openSSHPrivateKey pem: String, passphrase: String? = nil) throws -> SSHAuthenticationMethod
swift.enum.case	SSHAuthenticationMethod.rsaPrivateKey(pkcs1DERRepresentation:)	s:9Traversio23SSHAuthenticationMethodO13rsaPrivateKeyyACSays5UInt8VG_tcACmF	case rsaPrivateKey(pkcs1DERRepresentation: [UInt8])
swift.struct	SSHAuthenticationMethodDiscoveryConfiguration	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV	struct SSHAuthenticationMethodDiscoveryConfiguration
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.compressionPreference	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV21compressionPreferenceAA014SSHCompressionG0Ovp	let compressionPreference: SSHCompressionPreference
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.connectionProxy	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV15connectionProxyAA013SSHConnectionG0OSgvp	let connectionProxy: SSHConnectionProxy?
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.host	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV4hostSSvp	let host: String
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.hostKeyPolicy	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV13hostKeyPolicyAA07SSHHostgH0Vvp	let hostKeyPolicy: SSHHostKeyPolicy
swift.init	SSHAuthenticationMethodDiscoveryConfiguration.init(host:port:username:hostKeyPolicy:compressionPreference:legacyAlgorithmOptions:timeoutPolicy:connectionProxy:proxyJumpHosts:)	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV4host4port8username0F9KeyPolicy21compressionPreference22legacyAlgorithmOptions07timeoutJ015connectionProxy14proxyJumpHostsACSS_s6UInt16VSSAA07SSHHostiJ0VAA014SSHCompressionL0OAA09SSHLegacynO0VAA010SSHTimeoutJ0VAA013SSHConnectionR0OSgSayAA08SSHProxyT4HostVGtcfc	init(host: String, port: UInt16 = 22, username: String, hostKeyPolicy: SSHHostKeyPolicy, compressionPreference: SSHCompressionPreference = .disabled, legacyAlgorithmOptions: SSHLegacyAlgorithmOptions = .disabled, timeoutPolicy: SSHTimeoutPolicy = .currentProfileDefault, connectionProxy: SSHConnectionProxy? = nil, proxyJumpHosts: [SSHProxyJumpHost] = [])
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.legacyAlgorithmOptions	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV22legacyAlgorithmOptionsAA09SSHLegacygH0Vvp	let legacyAlgorithmOptions: SSHLegacyAlgorithmOptions
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.port	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV4ports6UInt16Vvp	let port: UInt16
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.proxyJumpHosts	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV14proxyJumpHostsSayAA08SSHProxyG4HostVGvp	let proxyJumpHosts: [SSHProxyJumpHost]
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.timeoutPolicy	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV13timeoutPolicyAA010SSHTimeoutG0Vvp	let timeoutPolicy: SSHTimeoutPolicy
swift.property	SSHAuthenticationMethodDiscoveryConfiguration.username	s:9Traversio45SSHAuthenticationMethodDiscoveryConfigurationV8usernameSSvp	let username: String
swift.struct	SSHAuthenticationMethodDiscoveryResult	s:9Traversio38SSHAuthenticationMethodDiscoveryResultV	struct SSHAuthenticationMethodDiscoveryResult
swift.property	SSHAuthenticationMethodDiscoveryResult.allowsUnauthenticatedAccess	s:9Traversio38SSHAuthenticationMethodDiscoveryResultV27allowsUnauthenticatedAccessSbvp	let allowsUnauthenticatedAccess: Bool
swift.property	SSHAuthenticationMethodDiscoveryResult.availableMethods	s:9Traversio38SSHAuthenticationMethodDiscoveryResultV16availableMethodsSaySSGvp	let availableMethods: [String]
swift.property	SSHAuthenticationMethodDiscoveryResult.banners	s:9Traversio38SSHAuthenticationMethodDiscoveryResultV7bannersSayAA0B6BannerVGvp	let banners: [SSHAuthenticationBanner]
